"자치구별(1)","자치구별(2)",성별(1),2015,2016,2017,2018,2019,2020,2021,2022
"합계","종로구",계,22776,22835,23638,25326,24671,25983,27308,28424
"합계","중구",계,19161,19671,20164,20803,22078,22818,24544,25247
"합계","용산구",계,31025,31641,33076,34240,35148,36881,39270,41437
"합계","성동구",계,35259,37074,39067,40706,41488,42585,44946,46548
"합계","광진구",계,54210,53169,54866,56337,58714,62301,66140,69391
"합계","동대문구",계,52884,52650,54030,55593,58152,60925,65290,68169
"합계","중랑구",계,45138,45717,47543,49207,52196,56605,60487,64334
"합계","성북구",계,52005,54117,54243,55136,57832,61510,64985,67222
"합계","강북구",계,35787,36668,39082,40872,42791,45685,48428,51134
"합계","도봉구",계,27348,28296,29469,30848,32653,34884,37853,39744
"합계","노원구",계,46129,47641,49265,51280,53365,56438,60647,63022
"합계","은평구",계,43936,44440,46535,48888,52814,57853,62447,65769
"합계","서대문구",계,40160,43298,43418,44795,46449,49863,52792,54288
"합계","마포구",계,52437,53382,54162,56837,59248,63172,67162,70030
"합계","양천구",계,32832,32878,33088,34304,36345,39436,42973,45502
"합계","강서구",계,56990,60988,68237,73011,79371,86172,94436,100695
"합계","구로구",계,40988,42055,42984,44151,47740,50971,54980,58977
"합계","금천구",계,31219,31728,32928,34564,37778,42334,46827,50528
"합계","영등포구",계,48433,49453,51151,53477,58214,64000,69806,73962
"합계","동작구",계,53954,52954,54355,56872,60088,64101,68231,71782
"합계","관악구",계,100302,103972,106865,112733,119863,129233,136255,145433
"합계","서초구",계,37496,38357,39702,41137,42667,43942,45933,46745
"합계","강남구",계,61897,61998,62774,62727,66073,68999,71986,73579
"합계","송파구",계,53481,54409,58848,63451,68861,73694,79262,82473
"합계","강동구",계,39897,39469,41050,42126,45188,50316,56905,59752
