해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,태국,아시아 기타,미국,서구 기타,데이터기준일자
2017-01,1905,184306,3109,1450,4014,5013,1524,1220,908,3338,1993,6777,2017-12-31
2017-02,1816,180094,3058,1421,1578,4851,962,981,1088,1503,1762,5128,2017-12-31
2017-03,2940,87669,2609,1259,2569,4439,1521,1447,1126,2696,3178,7919,2017-12-31
2017-04,4119,28988,6066,2141,6786,10113,3439,2925,3135,7117,4903,16365,2017-12-31
2017-05,3652,31382,4959,2069,3711,5659,3015,2306,4207,4266,3785,12044,2017-12-31
2017-06,6709,33184,5519,3103,4468,5750,2780,2666,2603,4232,3097,12520,2017-12-31
2017-07,4894,40825,6532,3384,2655,2827,3205,4061,2759,4913,3923,13965,2017-12-31
2017-08,7768,38560,5247,3711,1147,1356,1043,1490,920,4666,2534,9938,2017-12-31
2017-09,6710,30753,4344,3256,1313,959,780,1769,1110,3943,2386,8234,2017-12-31
2017-10,5659,32175,3919,3115,1270,1615,1427,3171,819,5061,2437,9235,2017-12-31
2017-11,6222,28329,2061,2254,1219,1605,1311,1213,640,4065,1406,6320,2017-12-31
2017-12,2965,31050,1529,1831,3002,5337,2058,1057,4475,3894,1247,4777,2017-12-31
