자치구,발생합계,검거합계,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율
종로구,2712,2755,6,4,156,1079,1467,0.5,1.0,4.852564102564102,0.6886005560704356,0.8507157464212679
중구,2861,2072,6,6,161,1279,1409,1.0,1.0,0.6024844720496895,0.5777951524628616,0.8687012065294535
용산구,2381,1659,3,1,141,945,1291,0.6666666666666666,1.0,0.7304964539007093,0.5121693121693122,0.8280402788536019
성동구,2112,1510,3,4,110,905,1090,1.3333333333333333,0.25,0.7454545454545455,0.549171270718232,0.8495412844036697
광진구,3087,2202,5,4,208,1414,1456,0.6,1.0,0.7740384615384616,0.5332390381895332,0.8791208791208791
동대문구,2959,2113,3,7,169,1240,1540,1.3333333333333333,1.1428571428571428,0.8698224852071006,0.5314516129032258,0.8409090909090909
중랑구,3210,2405,4,6,141,1399,1660,1.0,1.1666666666666667,0.8297872340425532,0.5968548963545389,0.8686746987951808
성북구,2411,1787,4,2,118,895,1392,0.75,1.0,0.7457627118644068,0.529608938547486,0.8764367816091954
강북구,2301,1912,4,1,136,777,1383,1.0,1.0,0.8455882352941176,0.6911196911196911,0.9074475777295734
도봉구,1860,1294,2,2,72,772,1012,1.0,0.5,0.8888888888888888,0.48704663212435234,0.8409090909090909
노원구,3425,2302,6,3,156,1361,1899,1.0,1.0,0.8076923076923077,0.4805290227773696,0.7967351237493417
은평구,3244,2423,4,3,166,1424,1647,1.25,1.0,0.8012048192771084,0.5793539325842697,0.8846387370977535
서대문구,2278,1594,3,2,137,1027,1109,1.0,1.0,0.8759124087591241,0.5472249269717624,0.8178539224526601
마포구,3540,2379,4,4,321,1510,1701,0.75,1.0,0.8566978193146417,0.48344370860927155,0.8036449147560258
양천구,3015,2085,1,3,116,1349,1546,1.0,1.0,0.7931034482758621,0.5189028910303929,0.833764553686934
강서구,3896,3044,9,3,246,1540,2098,0.7777777777777778,1.0,0.7642276422764228,0.5980519480519481,0.9175405147759771
구로구,3486,2431,5,2,182,1390,1907,1.0,0.5,0.6483516483516484,0.5539568345323741,0.805977975878343
금천구,2439,1741,7,3,134,1013,1282,0.8571428571428571,1.3333333333333333,0.7686567164179104,0.5133267522211253,0.8642745709828393
영등포구,4179,2777,8,11,279,1712,2169,1.0,1.0,0.7025089605734767,0.48539719626168226,0.7980636237897649
동작구,2631,1829,2,1,180,1129,1319,1.5,1.0,0.5222222222222223,0.5978742249778565,0.800606520090978
관악구,4444,3134,8,7,321,1860,2248,0.5,0.8571428571428571,0.838006230529595,0.49946236559139784,0.8567615658362989
서초구,3656,2439,9,5,312,1503,1827,1.0,1.0,0.7307692307692307,0.4597471723220226,0.8243021346469622
강남구,6146,4397,12,25,578,2372,3159,0.9166666666666666,0.92,0.7854671280276817,0.48903878583473864,0.8702120924343146
송파구,4714,3266,3,7,247,2024,2433,1.0,0.8571428571428571,0.8744939271255061,0.491600790513834,0.840937114673243
강동구,3458,2462,3,6,124,1612,1713,1.0,1.0,0.8306451612903226,0.5514888337468983,0.8528896672504378
