동별(2),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
소계,4446296,9667669,9428372,239297,2.12,1667411
종로구,72524,152211,141379,10832,1.95,27958
중구,63139,130785,120437,10348,1.91,25055
용산구,109805,233284,218650,14634,1.99,39037
성동구,133305,288234,281000,7234,2.11,47720
광진구,169291,351252,337416,13836,1.99,54071
동대문구,169873,353601,336644,16957,1.98,64468
중랑구,187413,390140,385318,4822,2.06,74920
성북구,197082,441984,430397,11587,2.18,77475
강북구,144313,297702,293660,4042,2.03,66307
도봉구,138356,313989,311694,2295,2.25,66998
노원구,217540,508014,503734,4280,2.32,92040
은평구,213876,470602,466746,3856,2.18,89650
서대문구,145797,319554,306337,13217,2.1,55996
마포구,180084,375585,364638,10947,2.02,55914
양천구,181187,444010,440881,3129,2.43,72393
강서구,273697,574638,569166,5472,2.08,97128
구로구,183655,418418,395315,23103,2.15,75890
금천구,119583,242818,229642,13176,1.92,42928
영등포구,188832,398085,375675,22410,1.99,64810
동작구,185773,390432,380596,9836,2.05,68231
관악구,283623,501226,486752,14474,1.72,82447
서초구,167749,408451,404325,4126,2.41,62347
강남구,232777,534103,529102,5001,2.27,81715
송파구,284853,664514,658801,5713,2.31,103573
강동구,202169,464037,460067,3970,2.28,78340
